id,limit_bal,gender,education,marriage,age,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,default,log_limit_bal,log_bill_amt1,log_bill_amt2,log_bill_amt3,log_bill_amt4,log_bill_amt5,log_bill_amt6,log_pay_amt1,log_pay_amt2,log_pay_amt3,log_pay_amt4,log_pay_amt5,log_pay_amt6
1,20000,Female,University,Married,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,9.90353755128617,8.272315147956022,8.04012466444838,6.536691597591305,0.0,0.0,0.0,0.0,6.536691597591305,0.0,0.0,0.0,0.0
2,120000,Female,University,Single,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,11.695255355062795,7.894690850425624,7.453561871643373,7.894690850425624,8.09346227450118,8.147867129923947,8.09009578318096,0.0,6.90875477931522,6.90875477931522,6.90875477931522,0.0,7.601402334583733
3,90000,Female,University,Single,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,11.407576060361786,10.283292913863715,9.548810611260068,9.514879561494386,9.570250078424845,9.612399686949514,9.65181591760738,7.325807502595773,7.313886831633462,6.90875477931522,6.90875477931522,6.90875477931522,8.517393171418904
4,50000,Female,University,Married,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,10.819798284210286,10.757711372994065,10.783819445556016,10.805517075058013,10.251146978547906,10.273670846499652,10.293771338648629,7.601402334583733,7.61085279039525,7.0909098220799835,7.00397413672268,6.975413927455952,6.90875477931522
5,50000,Male,University,Married,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,10.819798284210286,9.061608318175784,8.643120748014027,10.486708253717469,9.949464238776152,9.859901324373205,9.859117604800188,7.601402334583733,10.510041450510977,9.210440366976517,9.105090961257085,6.536691597591305,6.522092798170152
6,50000,Male,Graduate school,Single,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,10.819798284210286,11.072884439922198,10.952033863530755,10.961434084478222,9.872770579874068,9.884304733119354,9.90473677193656,7.824445930877619,7.504391559161238,6.489204931325317,6.90875477931522,6.90875477931522,6.68586094706836
7,500000,Male,Graduate school,Single,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,13.122365377402328,12.81574582157838,12.92883687906224,13.005847538514873,13.204227195080755,13.087780214173916,13.068846560189503,10.915106645867503,10.596659732783579,10.545367754151743,9.915416123401402,9.528866827722945,9.530320210727126
8,100000,Female,University,Single,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,11.51293546492023,9.38235903577424,5.942799375126701,6.400257445308821,5.402677381872279,0.0,6.342121418721152,5.942799375126701,6.400257445308821,0.0,6.366470447731438,7.431299675155903,7.341483852363161
9,140000,Female,High school,Married,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,11.849404844423074,9.331318298529085,9.553717287770926,9.401704256754366,9.410174353854769,9.37534620656045,8.221478947267192,8.110727582974489,0.0,6.07073772800249,6.90875477931522,6.90875477931522,6.90875477931522
10,20000,Male,High school,Single,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,9.90353755128617,0.0,0.0,0.0,0.0,9.473319831787592,9.540578933841877,0.0,0.0,0.0,9.473319831787592,7.023758954738443,0.0
11,200000,Female,High school,Single,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,12.206077645517674,9.312355297382913,9.188912424562563,8.619027497297505,7.829630389150193,7.511524648390866,8.224699561967235,7.7437032581737535,2.5649493574615367,3.9318256327243257,5.707110264748875,8.226573474977114,4.204692619390966
12,260000,Female,Graduate school,Single,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,12.468440756144114,9.414260328322634,9.983730240212331,9.207034914967457,9.049936850483158,10.011803696019587,9.522885774152654,9.99053642882265,9.207034914967457,9.057655284310535,10.012431639525307,0.0,8.200013648175434
